Month,Week,BU,Country,Global Category,SKU Code,SKU-Desc,Location Code,Location Desc,Total Inv ($K),Active Inv ($K),Blocked Inv ($K),Excess Inv ($K),IWND Inv ($K),Low Inv ($K),NPI Inv ($K),DIFC,Min Bnd Days,Max Bnd Days,RCA,Driver,DIOH Opp,Comments,Included in Provision,Timing of resolution (M),RCA Status
Jun-2022,202226,ANZ,New Zealand,GUM & CANDY,4253722,4253722 - TNCC 200G SMOOTHIE ORCHARD BL 16CA,NZ53,NZ ADC AUCKLAND,36,0,36,0,0,0,36,0,10,24,Run-out SKU,Supply,Y,"Delisted SKU, undersonumption",,,RCA Available
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4259007,4259007 - CAD 10X345G CDM CARAMELLO 4CA,AU51,AU VDC DANDENONG,173,139,0,34,0,0,34,35,14,28,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,CHOCOLATE,4266623,4266623 - 175G CARAMILK TOPDECK TABLET 4CA,NZ53,NZ ADC AUCKLAND,56,22,0,34,0,0,34,114,18,46,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,BISCUITS,4265762,4265762 - RITZ 180G CRACKER BITES SWEET CHILLI 6CA,AU81,AU AMBIENT DC -GROC,34,0,34,0,0,0,34,5,28,56,Run-out SKU,Supply,Y,,,,RCA Available
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4281302,4281302 - CAD 500G TWIRL BITES  8CA,AU51,AU VDC DANDENONG,105,71,0,34,0,0,34,999,16,44,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4276214,4276214 - FRYS 55G TURKISH DELIGHT 6CA,AU51,AU VDC DANDENONG,359,326,0,33,0,0,34,31,14,28,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,CHOCOLATE,620743,620743 - 5KG CDM GARNISH FLAKE,NZ53,NZ ADC AUCKLAND,84,51,0,33,0,0,33,999,32,53,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4228656,4228656 - 90G G B S ORGANIC MILK FT 37%,AU51,AU VDC DANDENONG,146,114,0,32,0,0,32,88,33,61,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,CHOCOLATE,4279481,4279481 - 165G CAD CDM MIXED NUTS 6CA,NZ55,CHRISTCHURCH DC,32,0,0,32,0,0,32,233,14,21,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4269068,4269068 - CAD 120G SCORCH PNUT PILLOW 18CA,AU51,AU VDC DANDENONG,96,64,0,32,0,0,32,141,25,53,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,MEALS,871430,871430 - 250G PHILLY SPREADABLE,AU85,AU CHILLED DC,263,232,6,25,0,0,31,23,14,21,Demand under-consumption,Supply,Y,,,,RCA Available
Jun-2022,202226,ANZ,Australia,BISCUITS,4265569,4265569 - RITZ 180G CRACKER BITES CHEESE 6CA,AU86,LINFOX BRISBANE DC,44,0,30,0,0,14,30,15,28,56,Run-out SKU,Supply,Y,,,,RCA Available
Jun-2022,202226,ANZ,New Zealand,BISCUITS,4040521,4040521 - 114G CAD FINGERS MILK CHOCOLATE,NZ53,NZ ADC AUCKLAND,34,4,0,29,0,0,29,999,35,42,Demand under-consumption,Supply,Y,SKU under performance,N,3,RCA Available
Jun-2022,202226,ANZ,New Zealand,CHOCOLATE,4261521,4261521 - 144G CDM FREDDO SHAREPACK,NZ53,NZ ADC AUCKLAND,56,27,0,29,0,0,29,67,30,44,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,CHOCOLATE,4279184,4279184 - CAD 10X343G CDM STRAWBERRY BLOCK 4CA,NZ53,NZ ADC AUCKLAND,29,0,0,29,0,0,29,56,16,30,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,620743,620743 - 5KG CDM GARNISH FLAKE,AU51,AU VDC DANDENONG,66,37,0,29,0,0,29,71,20,41,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,BISCUITS,4277730,4277730 - OREO 133G GOLDEN 20CA CKG,AU86,LINFOX BRISBANE DC,54,25,0,28,0,0,28,136,32,60,NPD assumptions,Supply,Y,Source location change: running out old sku first ,N,,RCA Available
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4259783,4259783 - ALDI BARS MIXED SHIPPER,AU51,AU VDC DANDENONG,63,35,19,10,0,0,28,49,14,42,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,GUM & CANDY,4275615,4275615 - 110G PASCALL JELLY GEMS BANGIN  BERRY,NZ53,NZ ADC AUCKLAND,43,15,5,23,0,0,28,112,21,49,Demand reduction (forward),Supply,Y, SAR exposure due to NZ SKU delisting. ,,,RCA Available
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4275167,4275167 - CAD 270G CARAMELLO KOALA SHAREPACK 12CA,AU51,AU VDC DANDENONG,33,5,0,27,0,0,27,185,14,21,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4279480,4279480 - 165G CAD CDM MORE NUTS SALTED TOFFEE,AU51,AU VDC DANDENONG,180,153,0,27,0,0,27,36,16,30,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,BISCUITS,4277746,4277746 - OREO 370G ORIGINAL 5CA CKG,AU81,AU AMBIENT DC -GROC,27,0,0,27,0,0,27,82,31,59,NPD assumptions,Supply,Y,Source location change: running out old sku first ,N,,RCA Available
Jun-2022,202226,ANZ,New Zealand,GUM & CANDY,4228650,4228650 - 170G PASCALL LOLLY SCRAMBLE,NZ55,CHRISTCHURCH DC,35,8,0,27,0,0,27,85,16,23,Demand under-consumption,Supply,Y,Import SKU,,,RCA Available
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4276013,4276013 - CAD 11X315G CARAMILK 4CA,AU51,AU VDC DANDENONG,417,390,0,27,0,0,27,97,21,90,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,GUM & CANDY,4275577,4275577 - 120G PASCALL PEACH LUMPS 14CA,AU51,AU VDC DANDENONG,41,14,0,27,0,0,27,999,14,21,NPD assumptions,Supply,Y,Job Lot - should sell through,,1,RCA Available
Jun-2022,202226,ANZ,Australia,BISCUITS,4265762,4265762 - RITZ 180G CRACKER BITES SWEET CHILLI 6CA,AU86,LINFOX BRISBANE DC,27,0,27,0,0,0,27,0,28,56,Run-out SKU,Supply,Y,,,,RCA Available
Jun-2022,202226,ANZ,New Zealand,GUM & CANDY,4275588,4275588 - 190G TNCC FRUITS   CREAM BLISS 12CA,NZ53,NZ ADC AUCKLAND,38,11,2,24,0,0,27,55,25,26,Demand under-consumption,Supply,Y,,,,RCA Available
Jun-2022,202226,ANZ,Australia,GUM & CANDY,4266701,4266701 - 520G ALDI DOMINION PARTY MIX REFRESH,AU51,AU VDC DANDENONG,167,141,-2,29,0,0,27,35,14,28,other,Supply,Y,"Phasing, plan can be adjusted to reduce ",,1,RCA Available
Jun-2022,202226,ANZ,Australia,CHOCOLATE,620759,620759 - 15KG GOLD DROPS FT MB,AU51,AU VDC DANDENONG,48,22,0,26,0,0,26,83,22,36,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,CHOCOLATE,4266388,4266388 - 180G CDM BREAKAWAY TABLET,NZ53,NZ ADC AUCKLAND,117,91,10,16,0,0,25,53,14,42,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,CHOCOLATE,4261520,4261520 - 144G CDM MILKY TOP FREDDO SHAREPACK,NZ53,NZ ADC AUCKLAND,31,6,0,25,0,0,25,75,24,38,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4259005,4259005 - CAD 11X340G CDM TOP DECK 4CA,AU51,AU VDC DANDENONG,123,98,0,25,0,0,25,57,14,42,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,BISCUITS,4228575,4228575 - 210G BELVITA MINI CHOCOLATE,AU51,AU VDC DANDENONG,55,31,0,24,0,0,25,999,30,58,Run-out SKU,Supply,Y,"Run out SKU, no more receipts. Plus SKU under performance.",N,3,RCA Available
Jun-2022,202226,ANZ,New Zealand,BISCUITS,4051155,4051155 - 300G RITZ CRACKER ORIGINAL,NZ53,NZ ADC AUCKLAND,105,80,0,25,0,0,25,59,30,44,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,GUM & CANDY,4069806,4069806 - 260G TNCC SNAKES REDUCED SUGAR,AU51,AU VDC DANDENONG,121,96,0,25,0,0,25,999,15,29,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,GUM & CANDY,621837,621837 - 5KG MILK CHOC CARAMELS,AU51,AU VDC DANDENONG,47,23,0,24,0,0,24,108,21,49,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4224734,4224734 - 20G CADBURY FURRY FRIEND,AU51,AU VDC DANDENONG,214,191,4,20,0,0,24,39,14,35,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,620892,620892 - 15KG DELIGHT CHOCOLATE DROP,AU51,AU VDC DANDENONG,35,11,0,24,0,0,24,89,21,49,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,BISCUITS,4257959,4257959 - CAPT TABLE 125G RMARY   THYME 16CA,AU81,AU AMBIENT DC -GROC,56,33,1,23,0,0,23,89,26,54,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,CHOCOLATE,4261524,4261524 - 144G CDM SHAREPACK,NZ53,NZ ADC AUCKLAND,48,25,0,23,0,0,23,65,28,42,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4259528,4259528 - 25G FREDDO FUN FILLED ADVENTURES,AU51,AU VDC DANDENONG,50,27,0,23,0,0,23,999,21,77,Run-out SKU,Supply,Y,Final production complete. Product sell through by September 2022,,,RCA Available
Jun-2022,202226,ANZ,New Zealand,BISCUITS,4277775,4277775 - OREO 133G CHOC 20CA CKG,NZ53,NZ ADC AUCKLAND,68,44,0,23,0,0,23,108,32,60,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,BISCUITS,4253098,4253098 - OREO 370G ORIGINAL 5CA,AU86,LINFOX BRISBANE DC,152,129,0,23,0,0,23,999,28,56,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4279366,4279366 - CAD 580G 100 YR CDM GIFT BOX 8CA,AU51,AU VDC DANDENONG,67,44,0,23,0,0,23,36,14,28,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,BISCUITS,4277746,4277746 - OREO 370G ORIGINAL 5CA CKG,AU86,LINFOX BRISBANE DC,22,0,0,22,0,0,22,75,31,59,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,BISCUITS,4253098,4253098 - OREO 370G ORIGINAL 5CA,NZ53,NZ ADC AUCKLAND,71,49,2,20,0,0,22,50,30,37,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,CHOCOLATE,4275603,4275603 - CAD 410G BAKING MILK CHIPS 5CA,NZ53,NZ ADC AUCKLAND,22,0,0,22,0,0,22,66,21,28,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,CHOCOLATE,4279184,4279184 - CAD 10X343G CDM STRAWBERRY BLOCK 4CA,NZ55,CHRISTCHURCH DC,22,0,0,22,0,0,22,513,14,21,,Supply,Y,,,,RCA Missing
