Month,Week,BU,Country,Global Category,SKU Code,SKU-Desc,Location Code,Location Desc,Total Inv ($K),Active Inv ($K),Blocked Inv ($K),Excess Inv ($K),IWND Inv ($K),Low Inv ($K),NPI Inv ($K),DIFC,Min Bnd Days,Max Bnd Days,RCA,Driver,DIOH Opp,Comments,Included in Provision,Timing of resolution (M),RCA Status
Jan-2023,202304,ANZ,Australia,CHOCOLATE,620768,620768 - 15KG JULIUS BUTTONS,AU51,AU VDC DANDENONG,37.90564,25.62434,0.05787,12.22342,0.0,0.0,12.28129,38.91243,17.0,31.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,620892,620892 - 15KG DELIGHT CHOCOLATE DROP,AU51,AU VDC DANDENONG,261.9244,194.88725,0.14956,66.88758,0.0,0.0,67.03714,238.83785,21.0,49.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,620943,620943 - 15KG TUSCANY GEMS SG,AU51,AU VDC DANDENONG,22.50454,10.34288,0.0,12.16165,0.0,0.0,12.16165,999.0,16.0,30.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,621390,621390 - 15G CADBURY HALF FLAKE,AU51,AU VDC DANDENONG,23.36925,0.0,1.22996,0.0,0.0,22.13929,1.22996,6.0,18.0,53.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,GUM & CANDY,621398,621398 - 5KG RASPBERRY PINK MARSHMALLOWS,AU51,AU VDC DANDENONG,12.18524,0.0,0.0,0.0,0.0,12.18524,0.0,13.87462,21.0,35.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,BEVERAGES,621437,621437 - 1.75KG CAFE BLEND DRINKING CHOCOLATE,AU51,AU VDC DANDENONG,33.56221,0.0,0.03227,0.0,0.0,33.52994,0.03227,10.92599,21.0,49.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,621450,621450 - CADBURY CATERING FLAKE MINI 8.5G,AU51,AU VDC DANDENONG,123.36247,0.0,0.10315,0.0,0.0,123.25932,0.10315,12.22083,32.0,53.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,621495,621495 - 52G CADBURY CHERRY RIPE,AU51,AU VDC DANDENONG,34.32934,0.0,9.74731,0.0,0.0,24.58203,9.74731,1.53579,14.0,42.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,621507,621507 - 35G GIANT CADBURY DAIRY MILK FREDDO,AU51,AU VDC DANDENONG,132.81589,132.77328,0.04261,0.0,0.0,0.0,0.04261,25.25733,21.0,35.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,621512,621512 - 80G CADBURY CHERRY RIPE,AU51,AU VDC DANDENONG,83.72297,0.0,1.0068,0.0,0.0,82.71618,1.0068,8.9892,14.0,35.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,GUM & CANDY,621515,621515 - 1KGX6 FRESHA FRUIT JELLIES,AU51,AU VDC DANDENONG,15.82641,0.0,0.0,0.0,0.0,15.82641,0.0,16.08943,40.0,54.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,GUM & CANDY,621527,621527 - 10KG JUBES(SW),AU51,AU VDC DANDENONG,25.82501,0.0,0.0,0.0,0.0,25.82501,0.0,10.9176,40.0,54.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,GUM & CANDY,621529,621529 - 10KG STRAWBERRIES   CREAM(SW),AU51,AU VDC DANDENONG,2.69243,0.0,0.0,0.0,0.0,2.69243,0.0,2.4908,44.0,58.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,GUM & CANDY,621537,621537 - 10KG BLACK FOREST JELLIES (SW),AU51,AU VDC DANDENONG,0.04819,0.0,0.0,0.04819,0.0,0.0,0.04819,84.00933,16.0,30.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,GUM & CANDY,621539,621539 - 10KG SPEARMINT LEAVES (SW),AU51,AU VDC DANDENONG,29.01854,0.0,0.04471,0.0,0.0,28.97383,0.04471,13.97449,40.0,54.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,GUM & CANDY,621540,621540 - 10KG SNAKES (SW),AU51,AU VDC DANDENONG,8.98821,0.0,0.0,0.0,0.0,8.98821,0.0,7.37722,40.0,54.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,GUM & CANDY,621541,621541 - 10KG RASPBERRIES (SW),AU51,AU VDC DANDENONG,24.43217,0.0,0.0,0.0,0.0,24.43217,0.0,8.77285,40.0,54.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,GUM & CANDY,621542,621542 - 10KG MIXED BERRIES (SW),AU51,AU VDC DANDENONG,16.54308,0.0,0.0,0.0,0.0,16.54308,0.0,5.2907,40.0,54.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,GUM & CANDY,621544,621544 - 10KG FRESHA LAUGHS (SW),AU51,AU VDC DANDENONG,21.65434,0.0,0.0,0.0,0.0,21.65434,0.0,8.89889,40.0,54.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,CHOCOLATE,621559,621559 - 60G CADBURY MORO - NZ,AU51,AU VDC DANDENONG,109.38806,109.38806,0.0,0.0,0.0,0.0,0.0,28.77718,19.0,54.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,CHOCOLATE,621561,621561 - 85G CADBURY MORO TWIN PACK,AU51,AU VDC DANDENONG,40.70159,25.96663,0.0,14.73495,0.0,0.0,14.73495,83.04117,14.0,56.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,GUM & CANDY,621671,621671 - 125G PASCALL VANILLA MARSHMALLOWS,AU51,AU VDC DANDENONG,4.42061,1.59168,0.00526,2.82368,0.0,0.0,2.82893,160.44803,23.0,37.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,GUM & CANDY,621672,621672 - 125G PASCALL RASP   VAN M/MALLOWS,AU51,AU VDC DANDENONG,15.16217,15.16217,0.0,0.0,0.0,0.0,0.0,30.50991,21.0,35.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,BEVERAGES,621726,621726 - 125G CADBURY BOURNVILLE COCOA,AU51,AU VDC DANDENONG,20.09017,20.09017,0.0,0.0,0.0,0.0,0.0,63.27347,16.0,84.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,BEVERAGES,621727,621727 - 250G CADBURY BOURNVILLE COCOA,AU51,AU VDC DANDENONG,133.27635,133.27635,0.0,0.0,0.0,0.0,0.0,32.38708,16.0,44.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,GUM & CANDY,621766,621766 - 1KG X 6 PASCALL MARSHMALLOWS - NZ,AU51,AU VDC DANDENONG,22.42192,0.0,0.01422,0.0,0.0,22.4077,0.01422,12.00904,18.0,32.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,GUM & CANDY,621837,621837 - 5KG MILK CHOC CARAMELS,AU51,AU VDC DANDENONG,23.85276,23.85276,0.0,0.0,0.0,0.0,0.0,22.704,21.0,49.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,CHOCOLATE,621961,621961 - 5KG CADBURY TEENY FREDDO HEADS,AU51,AU VDC DANDENONG,1.72753,0.0,0.0,0.0,0.0,1.72753,0.0,7.61833,20.0,48.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,GUM & CANDY,621971,621971 - 2KG PASCALL PLANES,AU51,AU VDC DANDENONG,0.95162,0.0,0.04326,0.0,0.0,0.90836,0.04326,14.44545,21.0,35.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,GUM & CANDY,621983,621983 - 2KG PASCALL JET PLANES,AU51,AU VDC DANDENONG,37.51078,0.0,0.0,0.0,0.0,37.51078,0.0,10.85027,23.0,37.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,GUM & CANDY,621984,621984 - 2KG PASCALL WINE GUMS,AU51,AU VDC DANDENONG,14.36504,0.0,0.0,0.0,0.0,14.36504,0.0,19.49441,28.0,42.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,CHOCOLATE,638370,638370 - FUNDRAISER MIXED TNCC BOX,AU51,AU VDC DANDENONG,55.50819,23.69613,0.0,31.81206,0.0,0.0,31.81206,74.0767,28.0,56.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,640656,640656 - 15G CADBURY STRAWBERRY FREDDO,AU51,AU VDC DANDENONG,44.63905,25.07484,0.0,19.56421,0.0,0.0,19.56421,98.69344,14.0,42.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,GUM & CANDY,643148,643148 - 6KG PASCALL PINEAPPLE PIECES,AU51,AU VDC DANDENONG,47.6077,0.0,0.0,0.0,0.0,47.6077,0.0,11.49458,21.0,35.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,CHOCOLATE,649951,649951 - 180G CAD SPECIAL TREATS SHAREPACK,AU51,AU VDC DANDENONG,143.62349,143.5976,0.0259,0.0,0.0,0.0,0.0259,46.35055,23.0,51.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,649959,649959 - 180G CHERRY RIPE SHAREPACK,AU51,AU VDC DANDENONG,62.73408,0.0,1.5555,0.0,0.0,61.17858,1.5555,11.23738,15.0,43.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,649983,649983 - 180G CDM CARAMELLO KOALA SHAREPACK,AU51,AU VDC DANDENONG,152.11215,0.0,0.38509,0.0,0.0,151.72705,0.38509,11.87271,15.0,150.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,649987,649987 - 168G CDM FLAKE SHAREPACK,AU51,AU VDC DANDENONG,136.46009,136.35859,0.1015,0.0,0.0,0.0,0.1015,20.13451,19.0,26.0,,,,,,,RCA Missing
